"Compound","Assays"
"LSM-1074","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4302","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1449","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-4811","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5082","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##P100 phosphoprotein quantification assay##Aggregated small molecule biochemical target activity"
"LSM-5497","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-2962","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##P100 phosphoprotein quantification assay##Aggregated small molecule biochemical target activity"
"LSM-1069","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-4586","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-2401","L1000 mRNA profiling assay##Fluorescence imaging drug synergy assay##P100 phosphoprotein quantification assay##Aggregated small molecule biochemical target activity"
"LSM-4194","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-5936","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1145","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1617","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-5975","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
