"Compound","Assays"
"LSM-20243","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20244","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20245","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20246","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20247","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20248","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20249","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20250","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20251","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20252","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20253","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20254","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20255","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20256","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20257","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20258","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20259","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20260","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20261","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20262","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20263","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20264","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20265","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20266","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20267","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20268","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20269","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20270","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20271","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20272","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20273","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20274","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20275","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20276","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20277","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20278","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20279","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20280","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20281","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20282","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20283","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20284","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20285","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20286","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20287","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20288","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20289","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20290","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20291","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20292","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20293","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20294","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20295","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20296","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20297","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20298","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20299","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20300","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20301","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20302","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20303","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20304","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20305","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20306","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20307","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20308","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20309","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20310","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20311","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20312","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20313","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20314","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20315","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20316","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20317","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20318","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20319","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20320","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20321","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20322","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20323","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-20325","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20327","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20328","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20329","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20331","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20332","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20333","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20334","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20335","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20336","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20340","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20342","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20345","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20346","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20347","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20348","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20350","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20352","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20354","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20356","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20357","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20359","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20360","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20362","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20363","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20364","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20365","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20366","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20368","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20369","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20370","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20371","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20372","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20373","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20374","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20375","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20376","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20378","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20379","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20381","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20383","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20384","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20385","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20386","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20387","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20388","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20390","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20394","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20395","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20397","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20398","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20399","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20400","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20401","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20402","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20403","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20405","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20406","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20407","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20408","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20409","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20410","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20411","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20412","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20413","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20415","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20416","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20418","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20419","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20420","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20421","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20423","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20424","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20425","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20426","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20427","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20428","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20432","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20433","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20434","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20435","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20436","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20438","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20439","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20440","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20441","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20442","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20443","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20444","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20448","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20449","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20450","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20452","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20453","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20454","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20455","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20456","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20459","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20460","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20461","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20462","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20463","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20464","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20465","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20466","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20467","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20469","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20471","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20473","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20477","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20478","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20479","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20480","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20481","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20482","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20483","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20485","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20486","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20487","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20488","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20489","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20490","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20491","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20493","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20495","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20496","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20497","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20498","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20499","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20500","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20501","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20503","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20504","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20505","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20506","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20507","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20508","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20509","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20510","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20511","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20512","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20513","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20514","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20515","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20516","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20517","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20518","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20520","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20522","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20523","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20524","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20525","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20526","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20527","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20529","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20531","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20532","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20533","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20534","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20535","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20536","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20537","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20538","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20539","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20540","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20541","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20542","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20543","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20544","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20545","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20546","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20547","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20548","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20549","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20550","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20551","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20552","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20553","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20554","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20556","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20557","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20559","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20560","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20561","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20562","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20563","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20564","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20565","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20566","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20567","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20568","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20569","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20570","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20572","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20573","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20574","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20575","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20576","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20577","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20578","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20579","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20580","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20581","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20583","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20584","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20585","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20586","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20587","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20589","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20591","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20592","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20593","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20594","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20597","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-20599","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
